ID,Username,Password,Email,PhoneNum,Bdate,Gender,Pronouns,Education,City,Relationship,Workplace
1,elizabethjones,d+a7T_JG4c,steven90@example.com,33918332085,1960-12-16,F,She/her,Master,Pricefort,MARRIED,Rodriguez-Morris
2,veronicaschwartz,c_pYN5GsJc,karen16@example.com,31087175410,1993-01-07,NB,They/them,High School,Nielsenburgh,ITS COMPLICATED,Cruz and Sons
3,wharris,%f9$TvkWGq,philipsmith@example.net,80689947952,1993-12-21,M,He/him,Bachelor,Kellymouth,DATING,Stewart-Wall
4,hutchinsonthomas,%A8fW4jECG,matthew64@example.org,15186620545,1966-06-08,F,She/her,Master,Hansenshire,SINGLE,"Martin, Brown and Gaines"
5,cfriedman,f)9EbFLplA,daniel98@example.net,60595162142,1989-11-28,NB,They/them,Master,West Jenniferhaven,MARRIED,Brown-Aguilar
6,oking,_x8SbOmeQ!,olam@example.com,47287958548,1944-09-22,M,He/him,PhD,Kellyhaven,MARRIED,Martinez Ltd
7,jondunn,!1ZrE!hkoH,manueljenkins@example.com,04674047758,1925-05-24,M,He/him,High School,Hoffmanmouth,MARRIED,Riley-Everett
8,johnsonjanice,_75#3d)mL&,kylejohnson@example.org,20310448740,1947-06-04,M,He/him,Master,West James,SINGLE,Johnson Ltd
9,griffinsuzanne,#)4ooHlZeT,stacy72@example.net,03996616832,1984-05-23,F,She/her,PhD,Kimberlymouth,DATING,"Ross, Smith and Robertson"
10,brittanysilva,X+&8VHFf6+,diazlaura@example.com,10722691065,1952-10-25,F,She/her,High School,Michaelview,ITS COMPLICATED,Skinner-Hill
11,shirleyhendricks,$(+Y8yufQA,nrice@example.net,33601873584,1962-12-17,F,She/her,Master,North Andrewchester,SINGLE,Nelson Group
12,sharpmargaret,#rJtN2qrC3,rushann@example.com,77150797550,1983-05-19,M,He/him,Master,South Matthewland,SINGLE,"Baker, Reed and Galloway"
13,caroline79,rWWhi7Zk*S,dbryant@example.net,08500368839,1929-04-14,NB,They/them,Master,Ginaside,SINGLE,Carter-Cunningham
14,gilbertlisa,r5S06Y%bZ^,ahernandez@example.com,71476124377,1940-08-31,NB,They/them,Master,Martinton,MARRIED,Gutierrez Group
